item,itemLabel,P15
https://monumenta.wikibase.cloud/entity/Q752,"Diccionario Retana de autoridades de la lengua vasca: con cientos de miles de nuevas voces y acepciones, antiguas y modernas ...",
https://monumenta.wikibase.cloud/entity/Q754,"Diccionario ""IKAS"" Euskera-Castellano Castellano-Euskara. Dialectos vizcaíno y guipuzcoano",
https://monumenta.wikibase.cloud/entity/Q755,Diccionario castellano-vasco,
https://monumenta.wikibase.cloud/entity/Q763,Diccionario castellano-vasco,
https://monumenta.wikibase.cloud/entity/Q797,"Berbategitxoa: Arratiako berbetearen gitxieneko hiztegia : ""Geure berbategie"" proiektua",
https://monumenta.wikibase.cloud/entity/Q802,Oinarrizko hiztegia latina-euskara,
https://monumenta.wikibase.cloud/entity/Q213,"Dictionnaire basque-français, par Silvain Pouvreau, prêtre du diocèse de Bourges",
https://monumenta.wikibase.cloud/entity/Q220,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,
https://monumenta.wikibase.cloud/entity/Q226,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",
https://monumenta.wikibase.cloud/entity/Q289,Dictionnaire français-basque,
https://monumenta.wikibase.cloud/entity/Q295,"Dictionnaire basque-français et français-basque: dialectes Labourdin, Bas-Navarrais et Souletin",
https://monumenta.wikibase.cloud/entity/Q341,Le basque de la Basse-Soule orientale,
https://monumenta.wikibase.cloud/entity/Q354,Dictionnaire français-basque = Hitzthegi eskuara-frantses: Grammaire,
https://monumenta.wikibase.cloud/entity/Q359,Dictionnaire français-basque: suffixes et conjugaison,
https://monumenta.wikibase.cloud/entity/Q231,De la antigüedad y universalidad del vascuence en España,
https://monumenta.wikibase.cloud/entity/Q251,"Origen de la nación bascongada y de su lengua. De la antigüedad, y universalidad del bascuenze en España: de que han dimanado las monarquias Española, y Francia, y la Republica de Venecia, que existen al presente: de sus perfecciones y ventajas sobre otras muchas lenguas: demonstración previa al arte, que se dara a luz desta lengua",
https://monumenta.wikibase.cloud/entity/Q253,Dictionarium Linguae Cantabricae,
https://monumenta.wikibase.cloud/entity/Q288,El diccionario etimológico vasco,
https://monumenta.wikibase.cloud/entity/Q297,"Diccionario trilingue del castellano, bascuence, y latín",
https://monumenta.wikibase.cloud/entity/Q298,"Diccionario trilingüe castellano, bascuence y latin dedicado a la M.N. y M.L. provincia de Guipuzcoa",
https://monumenta.wikibase.cloud/entity/Q299,Diccionario vasco-español,
https://monumenta.wikibase.cloud/entity/Q311,Diccionario Auñamendi español-vasco = Auñamendi erdal-euskal iztegia,
https://monumenta.wikibase.cloud/entity/Q317,Auñamendi erdal-euskal iztegia / Auñamendi diccionario español-vasco,
https://monumenta.wikibase.cloud/entity/Q340,"Manual de conversación castellana-euzkera con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática = Erdel-euskel-alkarrizketako idaztitxoa ; izen, aditz eta esakeren iztegiak, esaera zarrak, iragarkiak, eta euskel-iztitxoa",
https://monumenta.wikibase.cloud/entity/Q342,"La lengua vasca: Gramática, conversación, diccionario vasco-castellano, castellano-vasco",
https://monumenta.wikibase.cloud/entity/Q352,"Ensayo metódico de un catálogo de los peces, crustáceos, moluscos y radiados más comunes de la costa Cantábrica",
https://monumenta.wikibase.cloud/entity/Q356,"Fauna marina de la costa vasca: ensayo metódico de un catálogo de los peces, crustáceos, moluscos y radiados más comunes de la Costa Cantábrica = Euskalerriko itsas abereak: kantauri itsas-ertzeko arrain, oskuldun, soinberata arrerdidun ezagunen errolda egiteko saiakera: revisión y actualización de la obra de D. Vicente Laffitte",
https://monumenta.wikibase.cloud/entity/Q362,"Diccionario vasco-español. Cuarta edición, mejorada y aumentada",
https://monumenta.wikibase.cloud/entity/Q385,Apellidos vascos,
https://monumenta.wikibase.cloud/entity/Q386,Apellidos vascos,
https://monumenta.wikibase.cloud/entity/Q223,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",
https://monumenta.wikibase.cloud/entity/Q235,"Landuchioren hiztegi iraulia, euskara-gaztelania",
https://monumenta.wikibase.cloud/entity/Q254,Dictionarium Linguae Cantabricae,
https://monumenta.wikibase.cloud/entity/Q424,"Euskal Hiztegia-ren azterketa eta egituratzea ezagutza lexikalaren eskuratze automatikoari begira. Aditz-adibideen analisia Murriztapen-Gramatika baliatuz, azpikategorizazioaren bidean",
https://monumenta.wikibase.cloud/entity/Q442,Aizpitarteren hiztegi argitaragabea Loiolan,
https://monumenta.wikibase.cloud/entity/Q800,Herri-ogasuna hiztegia,
https://monumenta.wikibase.cloud/entity/Q801,Errugbia hiztegia,
https://monumenta.wikibase.cloud/entity/Q803,Zirkulazioa hiztegia,
https://monumenta.wikibase.cloud/entity/Q233,"Gramatica escuaraz eta francesez, composatua francez hitzcunça ikhaſi nahi dutenen faboretan",
https://monumenta.wikibase.cloud/entity/Q239,Glossaria duo Vasco-Islandica,
https://monumenta.wikibase.cloud/entity/Q441,Basque Compound Nouns and Generative Morphology: Some data,
https://monumenta.wikibase.cloud/entity/Q240,"Grammaire Cantabrique Basque, faite par Pierre d' Urte 1712: Manuscrit de la Bibliothèque du comte de Macclesfield",
https://monumenta.wikibase.cloud/entity/Q244,"L'interprect ou Traduction du français, espagnol & basque",
https://monumenta.wikibase.cloud/entity/Q236,"De la Antiguedad y universalidad del Bascuenze en España: de Sus perfecciones y ventajas sobre otras muchas Lenguas, Demostracion previa al Arte, que se dará á luz desta Lengua",
https://monumenta.wikibase.cloud/entity/Q328,Vocabulario del Refranero vizcaino de 1596,
https://monumenta.wikibase.cloud/entity/Q245,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,
https://monumenta.wikibase.cloud/entity/Q268,Petit dictionnaire basque,
https://monumenta.wikibase.cloud/entity/Q275,Lexique français-basque,
https://monumenta.wikibase.cloud/entity/Q291,"Dictionnaire français-basque, par M.-H.-L. Fabre",
https://monumenta.wikibase.cloud/entity/Q292,"Dictionnaire basque, français, espagnol et latin D'après les meilleurs auteurs classiques et les Dictionnaires des Académies française et espagnole ..",
https://monumenta.wikibase.cloud/entity/Q294,"Dictionnaire basque, français, espagnol et latin. D'après les meilleurs auteurs classiques et les Dictionnaires des Académies française et espagnole",
https://monumenta.wikibase.cloud/entity/Q322,Vocabulaire français-basque. Les mots basques groupés d'après le sens,
https://monumenta.wikibase.cloud/entity/Q335,Petit dictionnaire de poche français-basque,
https://monumenta.wikibase.cloud/entity/Q417,"La guerre des alphabets: règles d'orthographe euskarienne, adoptées pour la publication du Dictionnaire basque, français, espagnol et latin / par Augustin Chaho",
https://monumenta.wikibase.cloud/entity/Q247,Pierre d'Urteren Hiztegia: Londres 1715,
https://monumenta.wikibase.cloud/entity/Q252,Dictionarium Linguae Cantabricae,
https://monumenta.wikibase.cloud/entity/Q282,Iztegi Berezia,
https://monumenta.wikibase.cloud/entity/Q290,El vocabulario vasco de Aránzazu-Oñate y zonas colindantes,
https://monumenta.wikibase.cloud/entity/Q365,Dictionnaire basque-français et français-basque,
https://monumenta.wikibase.cloud/entity/Q389,Apaiz baten iztegia,
https://monumenta.wikibase.cloud/entity/Q407,Larramendiren hitz eraketa,
https://monumenta.wikibase.cloud/entity/Q767,Euskara-Ingelesa Ingelesa-Euskara Hiztegia,
https://monumenta.wikibase.cloud/entity/Q768,"Morris pocket : euskara-ingelesa, English-Basque",
https://monumenta.wikibase.cloud/entity/Q769,"Morris student plus: euskara-ingelesa, English-Basque",
https://monumenta.wikibase.cloud/entity/Q772,Euskal Hiztegia,
https://monumenta.wikibase.cloud/entity/Q773,Hauta-Lanerako euskal hiztegia,
https://monumenta.wikibase.cloud/entity/Q774,Euskal Hiztegia,
https://monumenta.wikibase.cloud/entity/Q246,"L'interprect ou Traduction du français, espagnol & basque",
https://monumenta.wikibase.cloud/entity/Q262,Vocabulaire basque,
https://monumenta.wikibase.cloud/entity/Q262,Vocabulaire basque,
https://monumenta.wikibase.cloud/entity/Q261,Vocabulario de vascuence,
https://monumenta.wikibase.cloud/entity/Q266,"Vocabulario vasco-castellano, castellano-vasco",
https://monumenta.wikibase.cloud/entity/Q284,Gure txoriak,
https://monumenta.wikibase.cloud/entity/Q361,Diccionario: Vasco-Castellano,
https://monumenta.wikibase.cloud/entity/Q375,Diccionario castellano-vasco,
https://monumenta.wikibase.cloud/entity/Q281,Iztegi erdera-euskera,
https://monumenta.wikibase.cloud/entity/Q343,"La lengua vasca: gramática, conversación, diccionario",
https://monumenta.wikibase.cloud/entity/Q345,"La Lengua Vasca, gramática, conversación, diccionario vasco-castellano y castellano-vasco, por Isaac López Mendizábal",
https://monumenta.wikibase.cloud/entity/Q347,Iztegi erdera-euskera = (Castellano-vasco),
https://monumenta.wikibase.cloud/entity/Q348,Iztegi erdera-euskera,
https://monumenta.wikibase.cloud/entity/Q350,Gramática vasca abreviada: con vocabulario castellano-vasco y vasco-castellano,
https://monumenta.wikibase.cloud/entity/Q369,Diccionario vasco-castellano (euskera-erdera) = Iztegi euskera-erdera (vasco-castellano),
https://monumenta.wikibase.cloud/entity/Q273,Otxandioko eskuizkribua,
https://monumenta.wikibase.cloud/entity/Q278,Linguarum totius orbis vocabularia comparativa,
https://monumenta.wikibase.cloud/entity/Q285,Euzkel-iztegitxua,
https://monumenta.wikibase.cloud/entity/Q293,Dictionnaire Celtique,
https://monumenta.wikibase.cloud/entity/Q296,Dictionnaire basque-français,
https://monumenta.wikibase.cloud/entity/Q296,Dictionnaire basque-français,
https://monumenta.wikibase.cloud/entity/Q300,"Diccionario trilingüe castellano, bascuence y latin dedicado á la M.N. y M.L. provincia de Guipuzcoa",
https://monumenta.wikibase.cloud/entity/Q315,Baskisches Wörterbuch I II,
https://monumenta.wikibase.cloud/entity/Q447,Basque Lexicography,
https://monumenta.wikibase.cloud/entity/Q326,Vocabulario vasco-castellano,
https://monumenta.wikibase.cloud/entity/Q344,Los nombres de parentesco en vascuence,
https://monumenta.wikibase.cloud/entity/Q314,"Bizcaico icenen adierantza Guipuzcoan, ta Nafarroan, G. ta N.gaz adirazoric",
https://monumenta.wikibase.cloud/entity/Q363,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",
https://monumenta.wikibase.cloud/entity/Q367,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",
https://monumenta.wikibase.cloud/entity/Q423,Euskararen herri hizkeren atlasa,
https://monumenta.wikibase.cloud/entity/Q426,Euskara ibarguen-cachopin kronikan (XVI. mendea),
https://monumenta.wikibase.cloud/entity/Q444,Bizkai mendebaldeko literatura-eskola klasikoaz: Añibarro eta Zabala,
https://monumenta.wikibase.cloud/entity/Q766,"Hiztegia 80: euskara-espainiera, espainiera-euskara, vasco- español, español-vasco",
https://monumenta.wikibase.cloud/entity/Q775,3000 hiztegia,
https://monumenta.wikibase.cloud/entity/Q790,"Historian ez gara, beharbada, hain bakarrik ibili",
https://monumenta.wikibase.cloud/entity/Q791,"Akademiaren sukaldeko lanetan, goxo-goxo",
https://monumenta.wikibase.cloud/entity/Q792,"Inguma eta Wikidata uztartuz, euskarazko zientziaren ezagutza-graforantz",
https://monumenta.wikibase.cloud/entity/Q793,Itxaropenako artxibategiko altxorrak: Gabriel Arestiren bi liburuen makinizkribuak,
https://monumenta.wikibase.cloud/entity/Q794,Miren Azkarateri esker onez,
https://monumenta.wikibase.cloud/entity/Q806,"Morfologia Konputazionala Euskaraz, 35 urte",
https://monumenta.wikibase.cloud/entity/Q325,Quelques extraits du vocabulaire basque,
https://monumenta.wikibase.cloud/entity/Q313,"Commentatio qua trinarum linguarum vasconum, belgarum et celtarum, quarum reliquiae in linguis vasconica, cymry et galic supersunt, discrimen et diversa cuiusque indoles docetur",
https://monumenta.wikibase.cloud/entity/Q304,"Diccionario de los nombres euskaros de las plantas en correspondencia con los vulgares, castellanos y franceses y científicos latinos",
https://monumenta.wikibase.cloud/entity/Q309,Diccionario Bascongado,
https://monumenta.wikibase.cloud/entity/Q324,Textos arcaicos vascos,
https://monumenta.wikibase.cloud/entity/Q333,Nombres vulgares de animales y de plantas usados en Álava y no incluídos en el Diccionario de la Real Academia Española (décimotercera edición),
https://monumenta.wikibase.cloud/entity/Q312,Colección alfabética de apellidos vascongados con su significado,
https://monumenta.wikibase.cloud/entity/Q305,"Diccionario de los nombres euskaros de las plantas en correspondencia con los vulgares, castellanos y franceses y científicos latinos",
https://monumenta.wikibase.cloud/entity/Q318,Castellano y vasco en el habla de Orio: estudio sobre lengua tradicional e importada,
https://monumenta.wikibase.cloud/entity/Q346,La cocina navarra. Recetario de platos navarros. Nomenclatura euskérica de los principales utensilios de la cocina navarra,
https://monumenta.wikibase.cloud/entity/Q364,Diccionario vasco-caldaico-castellano,
https://monumenta.wikibase.cloud/entity/Q388,Adiciones al vocabulario navarro,
https://monumenta.wikibase.cloud/entity/Q409,Las partículas discursivas en el Vocabulario Navarro de José María Iribarren,
https://monumenta.wikibase.cloud/entity/Q332,Origine des noms Patronymiques Français (donnant l'etymologie de 10000 noms de famille). Suivi d'une étude sur les noms de famille basques,
https://monumenta.wikibase.cloud/entity/Q319,Vocabulario vasco: (ensayo de una interpretación de la lengua vasca),
https://monumenta.wikibase.cloud/entity/Q302,"Diccionario manual bascongado y castellano, y elementos de gramática, para el uso de la juventud de la M.N. y M.L. Provincia de Guipuzcoa",
https://monumenta.wikibase.cloud/entity/Q303,Diccionario manual bascongado y castellano y elementos de gramática para uso de la juventud de Guipúzcoa con ejemplos de ambos idiomas,
https://monumenta.wikibase.cloud/entity/Q307,Diccionario Castellano-Euskera. Euzkel-Erdel Iztegia,
https://monumenta.wikibase.cloud/entity/Q310,Diccionario basco-español titulado euskeratik erderara biurtzeco itztegia,
https://monumenta.wikibase.cloud/entity/Q334,"Manual de conversación castellano-euskera: con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática",
https://monumenta.wikibase.cloud/entity/Q338,"Manual de conversación castellano-euzkera: con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática",
https://monumenta.wikibase.cloud/entity/Q351,"Gramática vasca abreviada, con vocabularios castellano-vasco y vasco-castellano, lista de formas verbales auxiliares y diálogos",
https://monumenta.wikibase.cloud/entity/Q376,Diccionario castellano-euzkera,
https://monumenta.wikibase.cloud/entity/Q339,"Manual de conversación castellano-euskera: con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática",
https://monumenta.wikibase.cloud/entity/Q306,"Diccionario científico: castellano-vasco, vasco-castellano",
https://monumenta.wikibase.cloud/entity/Q366,"Dictionnaire basque-français (dialectes labourdin, bas-navarrais et souletin)",
https://monumenta.wikibase.cloud/entity/Q353,El vocabulario vasco de Aránzazu-Oñate y zonas colindantes,
https://monumenta.wikibase.cloud/entity/Q353,El vocabulario vasco de Aránzazu-Oñate y zonas colindantes,
https://monumenta.wikibase.cloud/entity/Q357,El vocabulario euzkerico,
https://monumenta.wikibase.cloud/entity/Q371,Diccionario marítimo ilustrado: castellano-vasco-vasco castellano = Irudidun itxas-iztegia: erdera-euskera-euskera-erdera,
https://monumenta.wikibase.cloud/entity/Q360,Dictionnaire français-basque grammaire basque,
https://monumenta.wikibase.cloud/entity/Q395,The Current Situation of the Basque Language,
https://monumenta.wikibase.cloud/entity/Q764,"Basque-English, English-Basque Dictionary",
https://monumenta.wikibase.cloud/entity/Q765,"Basque-English, English-Basque Pocket Dictionary",
https://monumenta.wikibase.cloud/entity/Q396,Steps towards the Modernization of Basque: Challenges of a Standardized Lexicon,
https://monumenta.wikibase.cloud/entity/Q401,Neologisms and Lexicography in the Basque Language,
https://monumenta.wikibase.cloud/entity/Q402,Morphosyntactic Structure of Terms in Basque for Automatic Terminology Extraction,
https://monumenta.wikibase.cloud/entity/Q415,Extraction of Semantic Relations from a Basque Monolingual Dictionary Using Constraint Grammar,
https://monumenta.wikibase.cloud/entity/Q404,"Lexicografía vasca, el diccionario general vasco",
https://monumenta.wikibase.cloud/entity/Q420,Examen critique du manuel de la langue basque,
https://monumenta.wikibase.cloud/entity/Q420,Examen critique du manuel de la langue basque,
https://monumenta.wikibase.cloud/entity/Q425,EUSLEM: A Lemmatiser/Tagger for Basque,
https://monumenta.wikibase.cloud/entity/Q421,Evaluation of an Automatic Process for Specialized Web Corpora Collection and Term Extraction for Basque,
https://monumenta.wikibase.cloud/entity/Q431,"Elexbi, a Basic Tool for Bilingual Term Extraction from Spanish-Basque Parallel Corpora",
https://monumenta.wikibase.cloud/entity/Q445,"Bilingual Dictionary Drafting. The Example of German-Basque, a Medium-density Language Pair",
https://monumenta.wikibase.cloud/entity/Q446,Bilingual Dictionary Drafting: Connecting Basque word senses to multilingual equivalents,
https://monumenta.wikibase.cloud/entity/Q751,Axular-en Hiztegia. Euskara - español - français,
https://monumenta.wikibase.cloud/entity/Q770,Wörterbuch des Baskischen,
https://monumenta.wikibase.cloud/entity/Q753,Dictionnaire basque pour tous,
https://monumenta.wikibase.cloud/entity/Q753,Dictionnaire basque pour tous,
https://monumenta.wikibase.cloud/entity/Q796,Luzaideko euskararen hiztegia,
https://monumenta.wikibase.cloud/entity/Q798,Itzarbeibarko euskara ikasliburua eta hiztegia,
https://monumenta.wikibase.cloud/entity/Q799,Geriadur brezhoneg-euskareg: euskara-bretoiera hiztegia,
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,
https://monumenta.wikibase.cloud/entity/Q805,Ikaslearen Hiztegia,
https://monumenta.wikibase.cloud/entity/Q805,Ikaslearen Hiztegia,
https://monumenta.wikibase.cloud/entity/Q1260,Towards ELTeC-LLOD: European Literary Text Collection Linguistic Linked Open Data,
